VAT ------------>;24%;; 12 869,00 ;10299;;1,25
;;;;;;
;;;;;;
Lift X 4'3;;;;;;
Item/Kit Number;Description;Retail w/ VAT;Retail (FOB);Wholesale (FOB);Comments;
Total;Total;#REF!;#REF!;#REF!;;
999516;LIFTX 4'3 Off-White;#REF!;#REF!;#REF!;Includes eBox;#REF!
801400;148 Havoc LCS Front Wing;#REF!;#REF!;#REF!;;#REF!
340505;"32"" Carbon LCS Folding Propulsion for LIFTX";#REF!;#REF!;#REF!;;#REF!
80014;Elite hand controller kit;#REF!;#REF!;#REF!;;#REF!
311225;Battery Charger Assembly for LIFT5/LIFTX;#REF!;#REF!;#REF!;;#REF!
21113;AC Cord - US;#REF!;#REF!;#REF!;;#REF!
420002;LIFTX Battery;#REF!;#REF!;#REF!;;#REF!
840004;Battery ‘Backpack’ for LIFTX;#REF!;#REF!;#REF!;;#REF!
33057;26 Flow;#REF!;#REF!;#REF!;;#REF!
;;;;;;
Lift X 4'8;;;;;;
Item/Kit Number;Description;Retail w/ VAT;Retail (FOB);Wholesale (FOB);Comments;
Total;Total;#REF!;#REF!;#REF!;;
999519;LIFTX 4'8 Off-White;#REF!;#REF!;#REF!;Includes eBox;#REF!
801400;148 Havoc LCS Front Wing;#REF!;#REF!;#REF!;;#REF!
340505;"32"" Carbon LCS Folding Propulsion for LIFTX";#REF!;#REF!;#REF!;;#REF!
80014;Elite hand controller kit;#REF!;#REF!;#REF!;;#REF!
311225;Battery Charger Assembly for LIFT5/LIFTX;#REF!;#REF!;#REF!;;#REF!
21113;AC Cord - US;#REF!;#REF!;#REF!;;#REF!
420002;LIFTX Battery;#REF!;#REF!;#REF!;;#REF!
840004;Battery ‘Backpack’ for LIFTX;#REF!;#REF!;#REF!;;#REF!
33057;26 Flow;#REF!;#REF!;#REF!;;#REF!
;;;;;;
Lift X 5'2;;;;;;
Item/Kit Number;Description;Retail w/ VAT;Retail (FOB);Wholesale (FOB);Comments;
Total;Total;#REF!;#REF!;#REF!;;
999522;LIFTX 5’2 Off-White;#REF!;#REF!;#REF!;Includes eBox;#REF!
801400;148 Havoc LCS Front Wing;#REF!;#REF!;#REF!;;#REF!
340505;"32"" Carbon LCS Folding Propulsion for LIFTX";#REF!;#REF!;#REF!;;#REF!
80014;Elite hand controller kit;#REF!;#REF!;#REF!;;#REF!
311225;Battery Charger Assembly for LIFT5/LIFTX;#REF!;#REF!;#REF!;;#REF!
21113;AC Cord - US;#REF!;#REF!;#REF!;;#REF!
420002;LIFTX Battery;#REF!;#REF!;#REF!;;#REF!
840004;Battery ‘Backpack’ for LIFTX;#REF!;#REF!;#REF!;;#REF!
33052;31 Flow;#REF!;#REF!;#REF!;;#REF!
