;;;;;;;;EMEA Multiplier;10%;VAT;
eFoil;Charger;;311225;311225;Battery Charger Assembly for LIFT5/LIFTX; $1 260,00 ; $980,00 ; $1 390,00 ; $1 080,00 ; € 1 541,44 ;
eFoil;eBox;;99122;99122;eBox for LIFT5 and LIFTX; $940,00 ; $730,00 ; $1 030,00 ; $800,00 ; € 1 180,95 ;
eFoil;eFoil Accessories;;52000;52000;4-9 OCHO BLOWFISH; $599,00 ; $389,00 ; $660,00 ; $430,00 ; € 758,29 ;
eFoil;eFoil Accessories;;52001;52001;5-4 OCHO BLOWFISH; $599,00 ; $389,00 ; $660,00 ; $430,00 ; € 758,29 ;
eFoil;eFoil Accessories;;52004;52004;4-4 OCHO BLOWFISH; $599,00 ; $389,00 ; $660,00 ; $430,00 ; € 758,29 ;
eFoil;eFoil Accessories;;840000;840000;5’4 LIFT5 F Board Bag Beach Wheels​; $499,00 ; $325,00 ; $550,00 ; $360,00 ; € 633,98 ;
eFoil;eFoil Accessories;;840001;840001;4’9 LIFT5 F Board Bag Beach Wheels​; $499,00 ; $325,00 ; $550,00 ; $360,00 ; € 633,98 ;
eFoil;eFoil Accessories;;840002;840002;LIFT5 Board Bag Beach Wheels​; $499,00 ; $325,00 ; $550,00 ; $360,00 ; € 633,98 ;
eFoil;Hand Controller;;80014;80014;Elite hand controller kit; $895,00 ; $582,00 ; $980,00 ; $640,00 ; € 1 118,79 ;
eFoil;LCS subassemblies;;24000;24000;LCS Base Plate; $140,00 ; $90,00 ; $150,00 ; $100,00 ; € 174,03 ;
eFoil;LCS subassemblies;;24002;24002;LCS Folding Propeller Assembly v2 - For LIFT4 & LIFT5; $770,00 ; $500,00 ; $850,00 ; $550,00 ; € 969,62 ;
eFoil;LCS subassemblies;;24003;24003;LCS shroud assy.; $150,00 ; $100,00 ; $170,00 ; $110,00 ; € 198,90 ;
eFoil;LCS subassemblies;;24004;24004;LCS tail cone assy.; $90,00 ; $60,00 ; $100,00 ; $70,00 ; € 111,88 ;
eFoil;LCS subassemblies;;24006;24006;LCS Fixed Propeller Assembly - FRP; $140,00 ; $90,00 ; $150,00 ; $100,00 ; € 174,03 ;
eFoil;LCS subassemblies;;24007;24007;LCS Jet sub-assy; $850,00 ; $550,00 ; $940,00 ; $610,00 ; € 1 069,07 ;
eFoil;LCS subassemblies;;24008;24008;LCS Folding Propeller Assembly v3 - For Lift X; $780,00 ; $510,00 ; $860,00 ; $560,00 ; € 982,05 ;
eFoil;LCS Wings;;801400;801400;148 Havoc LCS Front Wing; $1 020,00 ; $660,00 ; $1 120,00 ; $730,00 ; € 1 280,39 ;
eFoil;LCS Wings;;801401;801401;210 Camber Pro LCS Front Wing; $1 080,00 ; $700,00 ; $1 190,00 ; $770,00 ; € 1 354,98 ;
eFoil;LCS Wings;;801402;801402;270 Camber Pro LCS Front Wing; $1 050,00 ; $680,00 ; $1 160,00 ; $750,00 ; € 1 330,12 ;
eFoil;Propulsions;;340500;340500;"28"" Aluminum Jet Propulsion for LIFT5 F"; $1 790,00 ; $1 400,00 ; $1 970,00 ; $1 540,00 ; € 2 236,34 ;
eFoil;Propulsions;;340501;340501;"28"" Carbon LCS Jet Propulsion for LIFT5"; $3 060,00 ; $2 390,00 ; $3 370,00 ; $2 630,00 ; € 3 765,35 ;
eFoil;Propulsions;;340502;340502;"28"" Carbon LCS Fixed Propulsion for LIFT5";na;na;#VALEUR!;#VALEUR!;#VALEUR!;
eFoil;Propulsions;;340503;340503;"32"" Carbon LCS Jet Propulsion for LIFT5"; $3 120,00 ; $2 430,00 ; $3 430,00 ; $2 670,00 ; € 3 827,50 ;
eFoil;Propulsions;;340504;340504;"32"" Carbon LCS Fixed Propulsion for LIFT5";na;na;#VALEUR!;#VALEUR!;#VALEUR!;
eFoil;Propulsions;;340505;340505;"32"" Carbon LCS Folding Propulsion for LIFTX"; $2 810,00 ; $2 190,00 ; $3 090,00 ; $2 410,00 ; € 3 454,57 ;
eFoil;Propulsions;;340506;340506;"32"" Carbon LCS Folding HIGH Propulsion for LIFTX"; $2 810,00 ; $2 190,00 ; $3 090,00 ; $2 410,00 ; € 3 454,57 ;
Surf;Bolt on Front Wings;80040;33009;80040;150 Surf v2; $850,00 ; $553,00 ; $940,00 ; $610,00 ; € 1 069,07 ;
Surf;Bolt on Front Wings;80041;33010;80041;200 Surf v2; $905,00 ; $588,00 ; $1 000,00 ; $650,00 ; € 1 143,65 ;
Surf;Bolt on Front Wings;80120;33027;80120;90 High Aspect; $850,00 ; $553,00 ; $940,00 ; $610,00 ; € 1 069,07 ;
Surf;Bolt on Front Wings;80125;33030;80125;160 Camber Pro; $850,00 ; $553,00 ; $940,00 ; $610,00 ; € 1 069,07 ;
Surf;Bolt on Front Wings;80126;33031;80126;210 Camber Pro; $899,00 ; $584,00 ; $990,00 ; $640,00 ; € 1 131,22 ;
Surf;Bolt on Front Wings;80127;33032;80127;270 Camber Pro; $999,00 ; $649,00 ; $1 100,00 ; $710,00 ; € 1 255,53 ;
Surf;Bolt on Front Wings;80128;33033;80128;70 High Aspect; $815,00 ; $530,00 ; $900,00 ; $580,00 ; € 1 031,77 ;
Surf;Bolt on Front Wings;80133;33038;80133;110 High Aspect-X; $870,00 ; $566,00 ; $960,00 ; $620,00 ; € 1 093,93 ;
Surf;Bolt on Front Wings;80140;33042;80140;120 High Aspect; $850,00 ; $553,00 ; $940,00 ; $610,00 ; € 1 069,07 ;
Surf;Bolt on Front Wings;80141;33043;80141;150 High Aspect-X; $899,00 ; $584,00 ; $990,00 ; $640,00 ; € 1 131,22 ;
Surf;Bolt on Front Wings;80143;33045;80143;220 High Aspect-X; $1 139,00 ; $740,00 ; $1 250,00 ; $810,00 ; € 1 429,57 ;
Surf;Bolt on Front Wings;80144;33046;80144;180 High Aspect-X; $1 059,00 ; $688,00 ; $1 160,00 ; $760,00 ; € 1 330,12 ;
Surf;Bolt on Front Wings;80152;33055;80152;110 Florence X; $950,00 ; $618,00 ; $1 050,00 ; $680,00 ; € 1 205,81 ;
Surf;Bolt on Front Wings;80039;33058;80039;100 Surf v2; $815,00 ; $530,00 ; $900,00 ; $580,00 ; € 1 031,77 ;
Surf;Bolt on Front Wings;80157;33060;80157;92 Havoc - Front Wing; $900,00 ; $585,00 ; $990,00 ; $640,00 ; € 1 131,22 ;
Surf;Bolt on Front Wings;80158;33061;80158;105 Havoc - Front Wing; $925,00 ; $601,00 ; $1 020,00 ; $660,00 ; € 1 168,51 ;
Surf;Bolt on Front Wings;80159;33062;80159;121 Havoc - Front Wing; $950,00 ; $618,00 ; $1 050,00 ; $680,00 ; € 1 205,81 ;
Surf;Bolt on Front Wings;80160;33063;80160;148 Havoc - Front Wing; $975,00 ; $634,00 ; $1 070,00 ; $700,00 ; € 1 218,24 ;
Surf;Bolt on Front Wings;80162;33065;80162;130 Florence X; $975,00 ; $634,00 ; $1 070,00 ; $700,00 ; € 1 218,24 ;
Surf;Bolt on Front Wings;;33069;;74 Havoc; $880,00 ; $570,00 ; $970,00 ; $630,00 ; € 1 106,36 ;
Surf;Bolt on Front Wings;;33070;;71 Florence; $1 180,00 ; $770,00 ; $1 300,00 ; $850,00 ; € 1 491,72 ;
Surf;Bolt on Front Wings;;33071;;91 Florence; $1 280,00 ; $830,00 ; $1 410,00 ; $910,00 ; € 1 616,03 ;
Surf;Bolt on Front Wings;80148;33051;80148;62 Kaikea; $850,00 ; $550,00 ; $940,00 ; $610,00 ; € 1 069,07 ;
Surf;Bolt on Front Wings;80156;33059;80156;77 Kaikea; $900,00 ; $590,00 ; $990,00 ; $650,00 ; € 1 131,22 ;
Surf;Bolt on Tail Wings;80112;33003;80112;25 Glide; $305,00 ; $198,00 ; $340,00 ; $220,00 ; € 385,36 ;
Surf;Bolt on Tail Wings;80044;33014;80044;48 Surf v2; $330,00 ; $215,00 ; $360,00 ; $240,00 ; € 410,22 ;
Surf;Bolt on Tail Wings;80045;33015;80045;38 Surf v2; $320,00 ; $208,00 ; $350,00 ; $230,00 ; € 397,79 ;
Surf;Bolt on Tail Wings;80046;33016;80046;32 Glide; $305,00 ; $198,00 ; $340,00 ; $220,00 ; € 385,36 ;
Surf;Bolt on Tail Wings;80121;33028;80121;33 Carve; $315,00 ; $205,00 ; $350,00 ; $230,00 ; € 397,79 ;
Surf;Bolt on Tail Wings;80122;33029;80122;26 Carve; $299,00 ; $194,00 ; $330,00 ; $210,00 ; € 372,93 ;
Surf;Bolt on Tail Wings;80130;33035;80130;46 Glide; $330,00 ; $215,00 ; $360,00 ; $240,00 ; € 410,22 ;
Surf;Bolt on Tail Wings;80131;33036;80131;36 Glide; $320,00 ; $208,00 ; $350,00 ; $230,00 ; € 397,79 ;
Surf;Bolt on Tail Wings;80142;33044;80142;20 Carve; $295,00 ; $192,00 ; $320,00 ; $210,00 ; € 360,50 ;
Surf;Bolt on Tail Wings;80149;33052;80149;31 Flow; $315,00 ; $205,00 ; $350,00 ; $230,00 ; € 397,79 ;
