VAT ------------>;24%;; 12 869,00 ; 10 299,00 ;;1,250020835;;;;;;;;
;;;;;;;;;;Previous FOB; 9 989,00 ;;;
Discount;;#REF!;#REF!;#REF!;#REF!;;;;;Inc $;#REF!;;;
Lift 5 4'4;;;;;;;Pricing Walk;;;Inc %;#REF!;;;
Item/Kit Number;Description;Retail w/ VAT;Retail (FOB);Wholesale (FOB);Comments;;;Retail;Wholesale;;;;;
Total;Total;#REF!;#REF!;#REF!;;; US Pricing ;$14 499,00; $11 309,00 ;;;;;
999501;LIFT5 4'4 Off-White;#REF!;#REF!;#REF!;Includes eBox;#REF!; EMEA Multiplier (10%) ; 15 948,90 ; 12 439,90 ;;;;;
801401;210 Camber Pro LCS Front Wing;#REF!;#REF!;#REF!;;#REF!; Currency Conversion (.92) ; 14 672,99 ; 11 444,71 ;;;;;
340503;"32"" Carbon LCS Jet Propulsion for LIFT5";#REF!;#REF!;#REF!;;#REF!;;;;;;;;
80014;Elite hand controller kit;#REF!;#REF!;#REF!;;#REF!;#REF!;;;;;;;
311225;Battery Charger Assembly for LIFT5/LIFTX;#REF!;#REF!;#REF!;;#REF!;#REF!;#REF!;;;;;;
21113;AC Cord - US;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
420000;Gen5 Full Range Battery;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
840003;Battery Backpack;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
33036;36 Glide;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
;;;;;;;;;;;;;;
Lift 5 4'9;;;;;;;;;;;;;;
Item/Kit Number;Description;Retail w/ VAT;Retail (FOB);Wholesale (FOB);Comments;;;;;;;;;
Total;Total;#REF!;#REF!;#REF!;;;;;;;;;;
999505;LIFT5 4'9 Off-White;#REF!;#REF!;#REF!;Includes eBox;#REF!;;;;;;;;
801401;210 Camber Pro LCS Front Wing;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
340503;"32"" Carbon LCS Jet Propulsion for LIFT5";#REF!;#REF!;#REF!;;#REF!;;;;;;;;
80014;Elite hand controller kit;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
311225;Battery Charger Assembly for LIFT5/LIFTX;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
21113;AC Cord - US;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
420000;Gen5 Full Range Battery;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
840003;Battery Backpack;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
33036;36 Glide;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
;;;;;;;;;;;;;;
Lift 5 5'4;;;;;;;;;;;;;;
Item/Kit Number;Description;Retail w/ VAT;Retail (FOB);Wholesale (FOB);Comments;;;;;;;;;
Total;Total;#REF!;#REF!;#REF!;;;;;;;;;;
999509;LIFT5 5’4 Off-White;#REF!;#REF!;#REF!;Includes eBox;#REF!;;;;;;;;
801402;270 Camber Pro LCS Front Wing;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
340503;"32"" Carbon LCS Jet Propulsion for LIFT5";#REF!;#REF!;#REF!;;#REF!;;;;;;;;
80014;Elite hand controller kit;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
311225;Battery Charger Assembly for LIFT5/LIFTX;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
21113;AC Cord - US;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
420000;Gen5 Full Range Battery;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
840003;Battery Backpack;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
33035;46 Glide;#REF!;#REF!;#REF!;;#REF!;;;;;;;;
